Country,City,Weekday mean,Weekend mean,Daily mean,Year
BE,Antwerp Zuid,1252.96,1292.69,1275.66,2019-01-01
BE,Antwerp Zuid,1005.7,1301.75,1174.88,2020-01-01
NL,Amsterdam,930.82,1027.65,986.15,2019-01-01
GB,Bristol,743.2,1138.76,969.23,2018-01-01
ES,Barcelona,783.88,1101.17,965.19,2017-01-01
CH,Zurich,702.26,1108.54,934.42,2017-01-01
NL,Amsterdam,788.34,1040.37,932.36,2018-01-01
BE,Antwerp Zuid,745.17,1042.01,914.79,2016-01-01
CH,St. Gallen Hofen,758.95,1022.98,909.82,2019-01-01
GB,London,730.36,1043.74,909.43,2015-01-01
GB,London,790.53,999.31,894.92,2016-01-01
CH,Zurich,777.54,975.99,890.94,2019-01-01
CH,Zurich,738.76,976.06,874.36,2020-01-01
CH,Zurich,703.15,970.57,855.96,2018-01-01
BE,Antwerp Zuid,765.77,890.05,836.79,2013-01-01
BE,Antwerp Zuid,740.82,884.51,822.93,2017-01-01
CH,St. Gallen Hofen,661.47,941.86,821.69,2017-01-01
CH,Geneva,633.02,916.2,794.84,2017-01-01
BE,Antwerp Zuid,686.02,836.11,771.79,2018-01-01
NL,Amsterdam,708.56,813.7,768.64,2020-01-01
GB,Bristol,549.85,908.4,754.74,2017-01-01
BE,Antwerp Zuid,658.3,804.86,742.05,2012-01-01
IS,Reykjavik Klettagarðar,657.61,802.98,740.68,2019-01-01
GB,London,708.4,759.03,737.33,2014-01-01
NL,Amsterdam,642.78,802.49,734.04,2017-01-01
ES,Barcelona,634.45,807.24,733.19,2018-01-01
CH,Zurich,610.15,806.81,722.53,2016-01-01
BE,Antwerp Zuid,610.56,804.15,721.18,2011-01-01
CH,Basel,657.75,760.8,716.63,2019-01-01
NL,Amsterdam,651.88,764.75,716.38,2014-01-01
ES,Castellon,613.61,790.01,714.41,2019-01-01
GB,London,799.35,644.13,710.65,2013-01-01
CH,St. Gallen Hofen,565.3,815.62,708.34,2018-01-01
ES,Barcelona,746.58,665.59,700.3,2019-01-01
ES,Barcelona,575.95,791.47,699.1,2016-01-01
CH,St. Gallen Hofen,625.08,758.57,691.83,2020-01-01
CH,Zurich,544.72,779.34,678.79,2013-01-01
CH,Geneva,641.74,712.05,676.89,2019-01-01
